id,symbol,name,current_price,high_24h,low_24h,market_cap,total_volume
worldcoin-wld,wld,Worldcoin,0.570011,0.643155,0.56801,1347347913,118146949.0
usdtb,usdtb,USDtb,0.999774,1.002,0.996985,1338729024,645930.0
bfusd,bfusd,BFUSD,0.999208,0.99948,0.998915,1318876147,30697707.0
polygon-ecosystem-token,pol,POL (ex-MATIC),0.122054,0.135237,0.121702,1293202508,82390969.0
binance-bridged-usdc-bnb-smart-chain,usdc,Binance Bridged USDC (BNB Smart Chain),0.999596,1.001,0.998607,1288687759,184415633.0
ripple-usd,rlusd,Ripple USD,0.999798,1.001,0.999154,1260381880,64231767.0
kucoin-shares,kcs,KuCoin,9.49,10.71,9.38,1232734906,12006938.0
global-dollar,usdg,Global Dollar,0.99985,0.999901,0.999558,1230369133,24298042.0
hashnote-usyc,usyc,Circle USYC,1.11,1.11,1.11,1211857456,1661575.0
rocket-pool-eth,reth,Rocket Pool ETH,3233.7,3503.13,3221.77,1195449800,7617125.0
algorand,algo,Algorand,0.130423,0.140918,0.128976,1147500147,55833717.0
official-trump,trump,Official Trump,5.7,6.14,5.69,1142623992,332138245.0
wbnb,wbnb,Wrapped BNB,817.67,899.49,815.63,1142055007,448255308.0
gatechain-token,gt,Gate,9.69,10.63,9.61,1136243833,3440292.0
sky,sky,Sky,0.04935061,0.056266,0.04923094,1129636278,25345791.0
hash-2,hash,Provenance Blockchain,0.02145974,0.02544081,0.02063481,1109463826,3396.27
arbitrum,arb,Arbitrum,0.192256,0.219312,0.191582,1079275279,141208312.0
cosmos,atom,Cosmos Hub,2.24,2.43,2.23,1076693731,55476631.0
binance-staked-sol,bnsol,Binance Staked SOL,136.82,151.52,136.4,1072178359,4015583.0
flare-networks,flr,Flare,0.01359385,0.01518479,0.01355882,1066367919,6414800.0
vechain,vet,VeChain,0.01234554,0.01348893,0.01205589,1061142723,31422828.0
syrupusdt,syrupusdt,syrupUSDT,1.11,1.11,1.11,1061065513,627978.0
filecoin,fil,Filecoin,1.46,1.62,1.44,1052790465,190867401.0
kelp-dao-restaked-eth,rseth,Kelp DAO Restaked ETH,2980.29,3229.28,2973.04,1006035896,230592.0
ignition-fbtc,fbtc,Function FBTC,86026.0,92179.0,83125.0,1002741003,182523.0
